name,orcid,field,h_index,total_publications,total_citations,avg_authors_per_paper,avg_author_position,avg_complexity,complexity_keyword_score,complexity_concept_score,complexity_n_works_analyzed,works_in_period,top_works,journals,from_year,to_year,KANON_C,KANON_A,KANON_M,KANON_R,KANON_J,KANON_Index,complexity_mesh_score,mesh_coverage
Frances H. Arnold,0000-0002-4027-364X,Chemistry,139,920,71002,5.95,5.14,0.5948,0.4329,0.8377,147,200,200,65,2006,2026,0.2,0.3714,0.0892,0.05,0.1,0.9194,0.5601,0.555
George P. Smith,0000-0003-2221-8831,Chemistry,270,4156,428304,25.69,17.29,0.7845,0.7999,0.7615,150,200,200,69,2006,2026,0.2,0.0678,0.1177,0.05,0.1,0.7789,0.8394,0.895
Gregory P. Winter,0000-0002-1980-0609,Chemistry,87,206,34736,5.15,4.2,0.6021,0.4768,0.7901,11,20,20,13,2006,2026,0.2,0.395,0.0903,0.0435,0.026,0.8936,0.5015,0.7
Jacques Dubochet,0000-0002-5792-4067,Chemistry,62,179,17044,5.12,3.88,0.6255,0.4939,0.8228,22,33,33,19,2006,2026,0.2,0.403,0.0938,0.031,0.038,0.8988,0.6025,0.5455
Joachim Frank,0000-0002-1589-3667,Chemistry,109,857,39790,7.04,6.05,0.6565,0.5244,0.8546,96,200,200,69,2006,2026,0.2,0.3488,0.0985,0.05,0.1,0.9133,0.56,0.595
Richard Henderson,0000-0002-4795-8364,Chemistry,78,497,34021,4.89,3.25,0.5494,0.39,0.7884,125,171,171,64,2006,2026,0.2,0.4187,0.0824,0.039,0.1,0.9327,0.5082,0.2047
Jean-Pierre Sauvage,0000-0002-6270-8057,Chemistry,85,612,25687,2.91,2.42,0.4541,0.2572,0.7496,89,200,200,42,2006,2026,0.2,0.4394,0.0681,0.0425,0.084,0.93,0.4911,0.05
Fraser Stoddart,0000-0003-3161-3697,Chemistry,175,1948,137865,7.98,7.41,0.5553,0.373,0.8287,176,200,200,50,2006,2026,0.2,0.3147,0.0833,0.05,0.1,0.8904,0.494,0.245
Bernard L. Feringa,0000-0003-0588-8435,Chemistry,147,1719,92177,5.3,4.87,0.5184,0.3076,0.8347,172,200,200,46,2006,2026,0.2,0.3784,0.0778,0.05,0.092,0.9138,0.5312,0.225
Tomas Lindahl,0000-0002-6771-3093,Chemistry,110,482,56197,6.93,4.63,0.6288,0.5589,0.7337,116,174,174,84,2006,2026,0.2,0.3842,0.0943,0.05,0.1,0.9275,0.6997,0.4368
Paul Modrich,0000-0002-5073-2890,Chemistry,94,209,29621,5.65,4.71,0.5477,0.3565,0.8345,38,55,55,19,2006,2026,0.2,0.3823,0.0822,0.047,0.038,0.891,0.4742,0.2727
Aziz Sancar,0000-0002-8061-1046,Chemistry,122,596,48628,6.07,5.08,0.5488,0.3616,0.8296,181,200,200,54,2006,2026,0.2,0.3729,0.0823,0.05,0.1,0.917,0.4247,0.375
Eric Betzig,0000-0002-0395-4560,Chemistry,75,219,40723,10.17,8.86,0.6151,0.4635,0.8426,119,165,165,55,2006,2026,0.2,0.2785,0.0923,0.0375,0.1,0.8711,0.6036,0.4182
Stefan W. Hell,0000-0002-9638-5077,Chemistry,138,729,73170,7.93,7.12,0.6623,0.5383,0.8483,152,200,200,55,2006,2026,0.2,0.3219,0.0993,0.05,0.1,0.9013,0.6036,0.705
W.E. Moerner,0000-0002-4628-1155,Chemistry,101,670,40490,5.75,5.11,0.5976,0.4367,0.8389,156,200,200,75,2006,2026,0.2,0.3724,0.0896,0.05,0.1,0.9201,0.5358,0.485
Martin Karplus,0000-0002-8269-8025,Chemistry,171,996,158498,5.41,4.62,0.6018,0.4345,0.8527,107,146,146,53,2006,2026,0.2,0.3844,0.0903,0.05,0.1,0.9258,0.4604,0.5274
Michael Levitt,0000-0001-6736-7885,Chemistry,88,297,33738,7.51,5.57,0.5717,0.4204,0.7986,94,133,133,53,2006,2026,0.2,0.3607,0.0857,0.044,0.1,0.9102,0.467,0.4511
Arieh Warshel,0000-0002-2453-7972,Chemistry,123,593,59731,4.13,3.75,0.6259,0.4751,0.8522,182,200,200,46,2006,2026,0.2,0.4064,0.0939,0.05,0.092,0.9336,0.4477,0.645
Robert J. Lefkowitz,0000-0003-1364-3761,Chemistry,31,98,17899,31.9,6.45,0.4784,0.2286,0.8531,37,49,49,20,2006,2026,0.2,0.3388,0.0718,0.0155,0.04,0.85,0.0,0.0
Brian K. Kobilka,0000-0002-6590-7702,Chemistry,140,518,79550,11.64,10.35,0.6746,0.562,0.8434,101,200,200,60,2006,2026,0.2,0.2414,0.1012,0.05,0.1,0.8633,0.6305,0.64
Dan Shechtman,0000-0002-3968-2115,Chemistry,16,61,2115,7.35,6.62,0.4784,0.3261,0.7067,21,34,34,24,2006,2026,0.0423,0.3346,0.0718,0.008,0.048,0.7606,0.6576,0.0882
Ei-ichi Negishi,0000-0003-3582-6011,Chemistry,83,717,26066,3.15,2.48,0.4558,0.1748,0.8773,81,105,105,36,2006,2026,0.2,0.4381,0.0684,0.0415,0.072,0.9237,0.2552,0.0381
Akira Suzuki,0000-0002-3854-8223,Chemistry,86,1690,43134,9.58,7.21,0.5775,0.4434,0.7787,152,200,200,144,2006,2026,0.2,0.3197,0.0866,0.043,0.1,0.891,0.6139,0.42
Venkatraman Ramakrishnan,0000-0002-2455-9361,Chemistry,20,86,1462,5.92,2.65,0.4453,0.2528,0.7342,21,49,49,36,2006,2026,0.0292,0.4337,0.0668,0.01,0.072,0.8215,0.0,0.0
Ada E. Yonath,0000-0002-7513-452X,Chemistry,56,304,12982,6.88,6.51,0.5729,0.4037,0.8268,71,127,127,62,2006,2026,0.2,0.3372,0.0859,0.028,0.1,0.8918,0.5149,0.3071
