name,orcid,field,is_nobel,horizon,ref_year,cutoff_year,total_citations,avg_author_position,avg_authors_per_paper,complexity_keyword_score,complexity_concept_score,complexity_mesh_score,mesh_coverage,journals,h_index,total_publications,complexity_n_works_analyzed,cby_min_year
P. Beiersdörfer,0000-0003-0127-599X,Physics,0,5,2011,2006,35,4.97,9.25,0.2403,0.8415,0.0,0.0,49,3,268,173,2012
P. Beiersdörfer,0000-0003-0127-599X,Physics,0,10,2011,2001,15,2.2,7.15,0.2377,0.8334,0.0,0.0,24,2,80,51,2012
K. Ida,0000-0002-0585-4561,Physics,0,0,2019,2019,3013,6.56,14.88,0.2002,0.8217,0.6083,0.004,46,26,500,306,2012
K. Ida,0000-0002-0585-4561,Physics,0,5,2019,2014,708,6.16,14.47,0.2061,0.8225,0.6083,0.0064,35,11,312,193,2012
K. Ida,0000-0002-0585-4561,Physics,0,10,2019,2009,18,6.74,19.65,0.2364,0.8299,0.0,0.0,21,2,81,68,2012
G. G. Paulus,0000-0002-8343-8811,Physics,0,0,2018,2018,5464,7.21,9.44,0.3244,0.8607,0.7396,0.0186,75,37,322,253,2012
G. G. Paulus,0000-0002-8343-8811,Physics,0,5,2018,2013,1391,6.07,8.34,0.3122,0.8603,0.7011,0.022,55,19,227,171,2012
G. G. Paulus,0000-0002-8343-8811,Physics,0,10,2018,2008,30,3.54,6.08,0.3032,0.8653,0.5191,0.0254,39,3,118,88,2012
M. A. Shay,0000-0003-1861-4767,Physics,0,0,2012,2012,568,2.53,4.37,0.1687,0.8344,0.0,0.0,35,12,169,67,2012
M. A. Shay,0000-0003-1861-4767,Physics,0,5,2012,2007,7,2.18,3.76,0.1746,0.8141,0.0,0.0,27,2,98,38,2012
M. A. Shay,0000-0003-1861-4767,Physics,0,10,2012,2002,6,2.19,3.84,0.1431,0.8104,0.0,0.0,15,2,31,14,2012
V. T. Tikhonchuk,0000-0001-7532-5879,Physics,0,0,2020,2020,6086,7.34,9.59,0.3465,0.8129,0.8926,0.0165,100,38,486,375,2012
V. T. Tikhonchuk,0000-0001-7532-5879,Physics,0,5,2020,2015,2409,6.54,8.56,0.3339,0.8138,0.8568,0.0167,72,22,359,284,2012
V. T. Tikhonchuk,0000-0001-7532-5879,Physics,0,10,2020,2010,34,5.68,7.91,0.3173,0.8176,0.0,0.0,52,3,220,167,2012
A. Couairon,0000-0003-1883-0208,Physics,0,0,2011,2011,8,3.98,6.19,0.2925,0.8578,0.9253,0.0366,36,2,164,135,2012
A. Couairon,0000-0003-1883-0208,Physics,0,5,2011,2006,5,3.35,5.67,0.2804,0.8376,1.0,0.0125,26,1,80,59,2012
A. Couairon,0000-0003-1883-0208,Physics,0,10,2011,2001,0,2.12,3.46,0.35,0.7804,0.0,0.0,9,0,24,17,2012
X. Garbet,0000-0001-5730-1259,Physics,0,0,2021,2021,5485,5.3,9.64,0.2361,0.8409,0.0,0.0,47,33,500,390,2012
X. Garbet,0000-0001-5730-1259,Physics,0,5,2021,2016,2573,5.41,9.91,0.2349,0.8399,0.0,0.0,45,22,401,309,2012
X. Garbet,0000-0001-5730-1259,Physics,0,10,2021,2011,26,5.25,9.62,0.2372,0.8389,0.0,0.0,32,2,264,206,2012
M. Goossens,0000-0002-7830-7147,Physics,0,0,2010,2010,150,3.61,4.54,0.3151,0.8079,0.6922,0.114,97,6,351,197,2012
M. Goossens,0000-0002-7830-7147,Physics,0,5,2010,2005,247,3.68,4.57,0.3358,0.8097,0.5863,0.169,95,8,361,194,2012
M. Goossens,0000-0002-7830-7147,Physics,0,10,2010,2000,311,3.82,5.74,0.3584,0.7951,0.5609,0.2071,87,9,309,150,2012
W. W. Heidbrink,0000-0002-6942-8043,Physics,0,0,2010,2010,59,6.89,16.38,0.2406,0.8229,0.0,0.0,25,3,295,192,2012
W. W. Heidbrink,0000-0002-6942-8043,Physics,0,5,2010,2005,82,7.68,18.24,0.2123,0.8196,0.0,0.0,25,4,199,144,2012
W. W. Heidbrink,0000-0002-6942-8043,Physics,0,10,2010,2000,125,8.18,20.29,0.206,0.8262,0.0,0.0,22,5,141,114,2012
