name,orcid,field,group,h_index,total_citations,total_publications,avg_authors_per_paper,avg_author_position,n_journals,S_text_raw,S_concepts_raw,mesh_coverage,works_analyzed,C,A,S,J,C_saturating,J_saturating,KANON,KANON_global,rank_KANON,rank_h,rank_shift_vs_h,data_quality,rank_KANON_clean,rank_h_clean,KANON_pctl,KANON_global_pctl,rank_shift_clean
Ada E. Yonath,0000-0002-7513-452X,Chemistry,Nobel,56,12982,304,6.88,6.51,62,0.4037,0.8268,0.307,71,0.1059,0.3782,0.7422,0.65,1.0,1.0,55.266,48.874,60,134,74,ok,58.0,134.0,66.07142857142857,49.404761904761905,76.0
Michael Levitt,0000-0001-6736-7885,Chemistry,Nobel,88,33738,297,7.51,5.57,53,0.4204,0.7986,0.451,94,0.2706,0.394,0.723,0.4853,1.0,1.0,55.093,49.701,61,96,35,ok,59.0,96.0,65.47619047619048,55.35714285714286,37.0
Lars Juhl Jensen,0000-0001-7885-715X,Chemistry,Elite (matched),105,124168,530,10.38,6.8,72,0.4513,0.8344,0.5,173,0.5941,0.3271,0.7578,0.7765,1.0,1.0,54.894,51.846,62,75,13,ok,60.0,75.0,64.88095238095238,69.64285714285714,15.0
Abdullah M. Asiri,0000-0001-7905-3209,Chemistry,Elite (matched),168,137340,2893,7.21,5.36,82,0.2751,0.7621,0.095,141,0.6765,0.4047,0.6647,0.8559,1.0,1.0,54.497,53.112,63,24,-39,ok,61.0,24.0,64.28571428571429,76.19047619047619,-37.0
Leo Radom,0000-0001-8249-1314,Chemistry,Elite (matched),87,42439,1408,9.09,6.39,46,0.3626,0.8533,0.13,182,0.3118,0.351,0.7552,0.3912,1.0,0.92,54.457,49.747,64,98,34,ok,62.0,98.0,63.69047619047619,55.952380952380956,36.0
Joseph T. Hupp,0000-0003-3982-9812,Chemistry,Elite (matched),169,116190,1114,7.25,6.3,45,0.3316,0.8154,0.13,186,0.5353,0.3781,0.7186,0.3735,1.0,0.9,54.444,51.821,65,22,-43,ok,63.0,22.0,63.095238095238095,69.04761904761905,-41.0
Jennifer A. Doudna,0000-0001-9161-999X,Chemistry,Nobel,150,118221,667,9.29,8.06,54,0.5062,0.8479,0.705,111,0.5706,0.3059,0.7796,0.5118,1.0,1.0,54.291,51.086,66,34,-32,ok,64.0,34.0,62.5,63.095238095238095,-30.0
Hiroshi Fujimoto,0000-0002-4987-0715,Chemistry,Elite (matched),45,8000,392,8.73,4.31,77,0.4734,0.738,0.351,95,0.0412,0.4095,0.6851,0.8235,0.8,1.0,54.273,46.459,67,147,80,ok,65.0,146.0,61.904761904761905,37.5,81.0
Michael I. Love,0000-0001-8401-0545,Chemistry,Elite (matched),48,138025,395,11.91,7.96,64,0.5123,0.8481,0.365,167,0.6882,0.2863,0.7809,0.7059,1.0,1.0,54.099,51.64,68,145,77,ok,66.0,144.0,61.30952380952381,66.66666666666666,78.0
Jeffrey R. Long,0000-0002-5324-1321,Chemistry,Elite (matched),149,103849,1144,7.01,6.55,33,0.3662,0.8095,0.16,177,0.4647,0.375,0.7208,0.2382,1.0,0.66,53.951,50.684,69,36,-33,ok,67.0,36.0,60.71428571428571,61.30952380952381,-31.0
